node ID,name,common name,family,size,image 1 (animals on white),image 1 in file,image 2 (shells),image 2 in file,image 3 (animals in habitat),image 3 in file,identification characteristics,similar species,ecology,distribution in the British Isles,distribution elsewhere,conservation status,map image,notes
s1,"Abida secale (Draparnaud, 1833)",Large Chrysalis Snail,Chondrinidae,6.0 – 8.5 x 2.3 – 2.8 mm,s1-1.jpeg,y,s1-2.jpg,,s1-3.jpg,,"The shell is a conical cylinder, with a distinctively thickened mouth lip. The mouth also contains about 9 angular, prominent lamella-like teeth. The shell is brown with regular fine ribbing.",This is the only British Chondrinid and there are no similar species in Britain and Ireland.,"Rocks and screes, dry grasslands, open woodland; always found in limestone areas",England (as far north as Cumbria).,"Western European and Alpine, widespread but local in France, Belgium, Switzerland and southern and central Germany.",Included in the IUCN Red List as 'least concern',,
s2,"Acicula fusca (Montagu, 1803)",Point Snail,Aciculidae,2.2 – 2.5 x 0.8 mm,s2-1.jpeg,y,s2-2.jpg,,s2-3.jpg,,"Acicula fusca is a very small species of land snail with an almost straight-sided pointed shell. The shell is thin and translucent, pale golden-brown, very glossy and has irregularly-spaced sharply incised vertical grooves. The mouth of the shell is pear-shaped, and it is one of only two British land snails (the other being Pomatias elegans) to possess an operculum, a plate-like cover that fits tightly within the mouth of the shell when the animal is retracted.",There are no other species of Acicula in Britain and it is unlikely to be confused with other species.,"Found in damp places, especially ground litter in old deciduous woods or in moss by springs.","Widespread in Ireland, very local in Britain.","Found in Belgium, NW Germany, France south to the Dordogne and the Basses Pyrénées.","The IUCN Red List of Threatened Species records Acicula fusca as 'least concern', although it is declining in Ireland due to habitat loss and monitoring is recommended. It remains common in areas such as the Pyrenees, and its decline elsewhere is not yet rapid enough for the species to qualify for a threatened category.",,
s3,"Carychium minimum (Müller, 1774)",Short-toothed Herald Snail,Ellobiidae,1.1 - 1.9 x 0.9 mm,s3-1.jpeg,y,s3-2.jpg,,s3-3.jpg,,"The shell is pointed and very small, with a thickened mouth edge. It is very similar to Carychium tridentatum, and separation of these species is sometimes only possible by breaking their shells in order to examine their internal lamella.  ",It can be difficult to separate Carychium minimum from Carychium tridentatum.,"Found in wet places, such as marshes or very moist woodland. ",Common throughout Britain and Ireland.,"Found throughout North West Europe, but mostly coastal beyond 60° North, and absent from northern Scandinavia and Iceland. ",Not threatened.,,
s4,"Carychium tridentatum (Risso, 1826)",Slender Herald Snail,Ellobiidae,1.8 – 2.0 x 0.9 mm,s4-1.jpeg,y,s4-2.jpg,,s4-3.jpg,,"The shell is pointed and very small, with a thickened mouth edge, but relatively taller, narrower and more conical than Carychium minimum. It is very similar to Carychium minimum, and separation of these species is sometimes only possible by breaking their shells in order to examine their internal lamella.  ",It can be difficult to separate Carychium tridentatum from Carychium minimum.,"More tolerant of drier habitats than Carychium minimum, although the two species are often found together. Common in woods, damp grassland and well-vegetated places generally.",Common throughout Britain and Ireland.,"Found throughout Europe, but absent from northern Scandinavia and Iceland.",Not threatened.,,
s5,"Pomatias elegans (O.F. Müller, 1774)","Land Winkle, Round-mouthed Snail",Pomatiidae,9-11.5 x 13-16mm,s5-1.jpeg,y,s5-2.jpg,,s5-3.jpg,,"Pomatias elegans has a thick, conical shell with a distinctive sculpture of spiral and transverse ribs, the spiral ribbing being the most pronounced. Shell colour varies from pale greyish-purple to yellowish-beige. The mouth of the shell is circular, and it is one of only two British land snails (the other being Acicula fusca) to possess an operculum, a plate-like cover that fits tightly within the mouth of the shell when the animal is retracted. The animal has a long, flexible proboscis and the eyes are set at the base of two tentacles. The sole of the foot is divided longitudinally into halves, which are moved independently when crawling. The sexes are separate.",There are no other species of Pomatias in Britain and it is unlikely to be confused with other species.,"Found in open woodland, hedgerows, screes and amongst rocks; always in highly calcareous areas, often burrowing into the surface of loose, friable soils.",Restricted to areas of calcareous bedrock (limestone and chalk) and therefore most common in southern England. Also found in North Wales and southern Ireland (Co. Clare).,Found across Western Europe and the Mediterranean...,"The IUCN Red List of Threatened Species records Pomatias elegans as 'least concern' due to its wide distribution across Europe. However, it is protected locally where it is threatened by intensive farming, habitat loss and pesticides. The British population has seriously declined in eastern and central England, and it is endangered in Ireland.",,
s6,"Pyramidula pusilla (Vallot, 1801)",Rock Snail,Pyramidulidae,1.5 – 2.0 x 3.0 mm,s6-1.jpeg,y,s6-2.jpg,,s6-3.jpg,,Pyramidula pusilla is a very small species of land snail with a top-shaped dark reddish-brown shell; old specimens are often bleached nearly to white. The umbilicus is very broad and deep. Growth-ridges are well defined but irregular.,This species is unlikely to be confused with other species.,"Found on dry limestone rocks and walls fully exposed to the sun, hiding in crevices and emerging in damp weather to feed on lichens.","Common in most limestone areas of Britain and Ireland. Populations are also known where large limestone blocks have been transported, such as the rockeries in the Cambridge Botanic Garden.",Found across the Mediterranean and western Europe.,Not threatened.,,
s7,"Truncatellina callicratis (Scacchi, 1833)",British Whorl Snail,Vertiginidae,1.8 - 2.0 x 0.9mm,s7-1.jpeg,,s7-2.jpg,,s7-3.jpg,,"The shell is very similar to T. cylindrica, with an even more perfectly cylindrical outline; whorls slightly more convex and suture correspondingly deeper. Three denticles (teeth) are usually present, only one of which is visible in frontal view. However, the teeth may be reduced or even absent, making it difficult to separate from T. cylindrica.","The other species of Truncatellina known in Britain, T. cylindrica, has no teeth.","Found in very dry, calcareous grassy places, open rocky hillsides",Found along the south coast of England from Devon to the Isle of Wight.,"Common in the French and Swiss alps, Pyrenees and Dordogne.",,,
s8,"Truncatellina cylindrica (Férussac, 1807)",Cylindrical Whorl Snail,Vertiginidae,1.8 – 2.0 x 0.9 mm,s8-1.jpeg,,s8-2.jpg,,s8-3.jpg,,"The shell is almost cylindrical, with a domed apex. The mouth contains no teeth; the mouth edge is slightly thickened. The shell is pale golden-brown with numerous fine and evenly spaced transverse ribs, giving a sparkling appearance at low magnification.","The other species of Truncatellina known in Britain, T. callicratis, usually has three teeth. Only one of these is usually visible in frontal view, and they may be reduced or even absent, making this species difficult to separate from T. cylindrica.","Found in very dry, calcareous grassy places, screes, amongst rocks and occasionally on sand dunes.","Found in only a few very localized areas in the UK, in Bedfordshire, Yorkshire and Norfolk.","Widespread, but always localized, in southern and western Europe.",The Joint Nature Conservancy Council (JNCC) list Truncatellina cylindrica as a UK priority species owing to its marked decline in the UK.,,
s9,"Quickella arenaria (Bouchard-Chantereaux, 1837)",Sandbowl Snail,Succineidae,5 - 9 mm,s9-1.jpeg,y,s9-2.jpg,,s9-3.jpg,,"The shell has three extremely tumid whorls separated by a deep suture. The mouth forms about half the total height of the shell, which is reddish amber with rather coarse and irregular growth lines. ","This species cannot be reliably separated from Succinella oblonga on external characters alone, requiring dissection for a positive identification.","Found in damp sparsely-vegetated hollows in coastal sand dunes, and on bare mud in marshes. ","A rare species, found only in a few places on the coasts of England (north Devon) and Ireland (Co Mayo).","Restricted to coasts of France, Belgium, The Netherlands, West Germany, and Sweden, and also the mountains of central Scandanavia and eastern Switzerland. ","The IUCN Red List of Threatened Species records Quickella arenaria as ""Lower Risk / near threatened"". ",,
s10,"Succinella oblonga (Draparnaud, 1801)",,Succineidae,6 - 8 mm,s10-1.jpeg,y,s10-2.jpg,,s10-3.jpg,,"The shell of this species closely ressembles Quickella arenaria, but is usually long elongate, with less tumid whorls and a more oval mouth. The shell is pale amber to greenish white, with rather coarse and irregular growth lines and often encrusted with a muddy film. ","This species cannot be reliably separated from Quickella arenaria on external characters alone, requiring dissection for a positive identification.",Found in damp sparsely-vegetated places such as the flood plains of rivers and marshes; characteristically on dried-out bare muddy surfaces. ,Very localized distribution in Britain and Ireland. ,Widespread across northwest Europe but localized in Scandinavia. ,Not threatened.,,
s11,"Succinea putris (Linneaus, 1758)",,Succineidae,10 - 17 mm (occasionally 24 mm),s11-1.jpeg,y,s11-2.jpg,,s11-3.jpg,,"The shell has three very rapidly enlarging whorls, the last forming about two-thirds of the total height. The mouth is broad and rounded, and the fragile translucent shell has a pale greenish-yellow to amber colour. The body of the animal is usually pale yellowish-brown but dark grey forms also occur.  ","This species can externally ressemble Oxyloma elegans, although they differ anatomically. These species may therefore be difficult to separate. ","Found in fens, marshes and water-meadows; often on vegetation at the margins of lakes and rivers. ","Widespread in Britain and Ireland, although rare or absent in the highland zones of northern Britain. ","Widespread in Europe, but rare in the highland zones of northern Scandinavia. ",Not threatened.,,
s12,"Oxyloma elegans (Rossmässler, 1835)",,Succineidae,9 - 12 mm (occasionally 20 mm),s12-1.jpeg,y,s12-2.jpg,,s12-3.jpg,,"The shell has three rapidly expanding whorls, the last forming about two-thirds of the total height. The shape can vary but the whorls are usually flatter than in Succinea putris, with the mouth correspondingly narrower and more pear-shaped. The shell is glossy and often a bright amber colour with irregular growth-lines. The body of the animal is usually dark, but pale forms also occur. ",This is a very variable species and is difficult to separate from Succinea putris on external characters. ,"Found in fens, marshes and similarly wet places; not in woods. ","Widespread in Britain and Ireland, although rare or absent in the highland zones of northern Britain. ","Widespread in Europe, but rare in the highland zones of northern Scandinavia, and absent from Iceland. ",Not threatened.,,
s13,"Oxyloma sarsii (Esmark & Hoyer, 1886)",Slender Amber Snail,Succineidae,12 - 15 mm (occasionally 20 mm),s13-1.jpeg,,s13-2.jpg,,s13-3.jpg,,"The shell closely ressembles that of Oxyloma elegans, but is larger and narrower. The shell is dark amber and strongly and irregularly striated. The body of the animal is usually darkly pigmented.",On external characters alone this species cannot be reliably separated from certain forms of Oxyloma elegans. ,"Found in richly-vegetated fens and marshes, often on floating water plants. ","Very localized distribution in Britain, found only in southeast England. Recently identified in Ireland (Galway, Tipperary, and Offaly). ","Localized occurances in Belgium, The Netherlands, Germany, Denmark and eastern Scandinavia. ",Not threatened.,,
s14,"Azeca goodalli (Férussac, 1821)",Three-toothed Moss Snail,Azecidae,5.3 - 6.8 x 2.4 - 2.7 mm,s14-1.jpeg,y,s14-2.jpg,,s14-3.jpg,,The shell is fusiform with 6 to 7 whorls. The mouth-edge is prominantly thickened with several distinctive teeth visible within the mouth. The shell is a warm reddish-brown and extremely glossy. ,This species is unlikely to be confused with other species.,"Found in moss and ground litter in open woodland, hedgerows and scrub; also found in rocky places. ",Localized distribution in England and Wales. ,"Found in France, Belgium and central Germany with only isolated occurances elsewhere. ",Not threatened.,,
s15,"Cochlicopa lubrica (Müller, 1774)",Glossy Pillar Snail,Cochlicopidae,5 - 7.5 x 2.4 - 2.9 mm,s15-1.jpeg,y,s15-2.jpg,,s15-3.jpg,y,"The shell is elongate oval shape, conical with a blunt apex. The mouth lip is rounded and slightly thickened, and the shell is usually pale to dark brown and very glossy. ",Individual shells might be confused with Cochlicopa lubricella. ,"A catholic species, found in many habitats including marshes, grasslands and woods.  ",Common throughout Britain and Ireland.,Found throughout northwestern Europe and Scandinavia. ,Not threatened.,,
s16,"Cochlicopa lubricella (Porro, 1838)",Thin Pillar Snail,Cochlicopidae,4.5 - 6.8 x 2.1 - 2.5 mm,s16-1.jpeg,y,s16-2.jpg,,s16-3.jpg,y,"The shell is similar to that of Cochlicopa lubrica, but is smaller and relatively more slender and cylindrical in shape. The apex appears blunter and the shell is usually less glossy and paler in colour. ",Individual shells might be confused with Cochlicopa lubrica. ,"A catholic species, found in drier places than Cochlicopa lubrica, such as limestone grassland, sand dunes and screes, but the two species are often found together.  ","Common throughout Britain and Ireland, but more local than Cochlicopa lubrica. ",Found throughout northwestern Europe but absent from northern Scandinavia. ,Not threatened.,,
s17,"Pupilla muscorum (Linnaeus, 1758)",Moss Chrysalis Snail,Pupillidae,3 - 4 x 1.7 mm,s17-1.jpeg,y,s17-2.jpg,,s17-3.jpg,,"The shell is a cylindrical ovoid with 6 to 7 whorls. The mouth is rounded and thickened internally with a very distinct white rib present externally just behind the outer lip. The mouth usually has a small white tooth (sometimes there are more), although this may be absent. The shell is brown, not glossy and almost smooth with very fine growth-lines.",Broadly similar to Pupilla pratensis. ,"Dry exposed calcareous places such as screes, stone walls and short-turfed grassland. Also coastal dunes. ",Common throughout Britain and Ireland in suitable habitats (i.e. areas with calcareous bedrock). More localized in the north.,"Found throughout northwestern Europe and Scandinavia, localized in Iceland. ",Not threatened.,,
s18,"Pupilla pratensis (Clessin, 1871)",,Pupillidae,3.5 - 3.9 x 1.7 mm,s18-1.jpeg,,s18-2.jpg,,s18-3.jpg,,"The shell is similar to Pupilla muscorum, but differs in that it is taller and darker, with a blunter apex and more weakly developed teeth.",Broadly similar to Pupilla muscorum. ,Found in calcareous fenland and wetter habitats than Pupilla muscorum. ,This species has only recently been separated from Pupilla muscorum and its distribution is therefore unclear. ,This species has only recently been separated from Pupilla muscorum and its distribution is therefore unclear. ,Not threatened.,,
s19,"Leiostyla anglica (Férussac, 1821)",English Chrysalis Snail,Lauriidae,3 - 3.7 x 1.9 mm,s19-1.jpeg,y,s19-2.jpg,,s19-3.jpg,,"The shell is ovoid and conical with 6 feebly convex whorls. The mouth edge is white and strongly thickened, especially in the middle of the outer lip where there is a marked denticle. The mouth also contains up to 6 lamella-like teeth. The shell is dark reddish-brown, not glossy and with feeble growth-lines. ",This species is unlikely to be confused with other species. ,Found in damp places in woodland and marshes. ,Common in Ireland and found more locally in northern and western Britain. ,"Rare in Europe, found locally in western France and the Channel Islands. ","The IUCN Red List of Threatened Species records Leiostyla anglica as ""Least Concern"".",,
s20,"Lauria cyclindracea (da Costa, 1778)",Common Chrysalis Snail,Lauriidae,3 - 4.4 x 1.8mm,s20-1.jpeg,y,s20-2.jpg,,s20-3.jpg,,"The shell is ovoid with 6 to 7 moderately convex whorls, the last with a strong basal crest. The mouth-edge is thickened and sharply reflected at right-angles to form a flat white lip, and an angular tooth is normally present at the top of the outer lip. The shell is pale brown, rather glossy with feeble growth-lines. ",This is a variable species: the angular tooth may be absent and the reflected lip may be poorly developed. The shape may also vary from tall and cylindrical to stumpy and conical. Careful observation should allow separation from Lauria sempronii. ,"Found in woods, grasslands and amongst rocks; not usually in very wet places. Often abundant under ivy on stone walls.",Found throughout Britain and Ireland. ,"Most common near the Atlantic in France, Belgium and the coasts of The Netherlands, Germany and Scandinavia. Also found in western Switzerland and few places in the Rhine valley. ",Not threatened.,,
s21,"Lauria sempronii (Charpentier, 1837)",,Lauriidae,3 - 3.2 x 1.5 mm,s21-1.jpeg,,s21-2.jpg,,s21-3.jpg,,"The shell is similar to Lauria cylindracea but is smaller, narrower and more rounded so that the basal crest is absent or only feebly developed. The mouth-edge is reflected as in Lauria cylindracea, but the lip is narrower and more delicate. The angular tooth is either very small or completely absent. The shell is pale reddish brown and more glossy than Lauria cylindracea. ",Similar to Lauria cylindracea but separable through careful observation (see identification characteristics). ,"Found in woods, amongst rocks and on old walls. ",Known from one locality in southern England and may well be extinct there. ,"Found in southern and eastern France (mainly the Pyrennes and Alps) and southern Switzerland. Mainly montane, but rare above 1000 m. ",Not threatened.,,
s22,"Acanthinula aculeata (Müller, 1774)",Prickly Snail,Valloniidae,2 x 2 mm,s22-1.jpeg,y,s22-2.jpg,,s22-3.jpg,y,The shell is conical and the mouth round. In fresh shells the outer surface (periostracum) is raised into sharp lamella-like ribs with a row of flexible spines. In weathered shells the spines are usually rubbed off. ,This species is unlikely to be confused with other species.,"Found in woods, hedgerows and scrub, in leaf litter and under fallen timber. ",Found throughout Britain and Ireland.,Widespread in Europe but absent from northern parts of Scandinavia. ,Not threatened.,,
s23,"Spermodea lamellata (Jeffreys, 1830)",Plaited Snail,Valloniidae,2 x 2 mm,s23-1.jpeg,y,s23-2.jpg,,s23-3.jpg,,"The shell is beehive-shaped with a characteristic sculpture of regularly spaced sharp fine ribs, giving an irridescent appearance to the naked eye. ",This species is unlikely to be confused with other species.,Found in old native desciduous woodland. in leaf litter and under fallen timber. ,Widespread but very local in Ireland and Northern Britain. ,"Found in Northern Europe in Denmark, the North Sea and Baltic coasts of Germany, and southern Sweden. ","The IUCN Red List of Threatened Species records Spermodea lamellata as ""Near Threatened"", stating that this species has suffered severe decline in the last decade. In Ireland the population has declined by 73% in the last 30 years, and the species should be carefully monitored. ",,
s24,"Vallonia costata (Müller, 1774)",Ribbed Grass Snail,Valloniidae,2.2 - 2.7 mm breadth,s24-1.jpeg,y,s24-2.jpg,,s24-3.jpg,,The shell is discoidal with a nearly flat spire. The mouth is circular and the edge is thickened and sharply reflected to form a strong flange-like lip. The shell has a sculpture of regularly spaced sharp ribs which are often worn away in weathered shells. ,The adults of this species should be distinguishable from other British species of Vallonia due to their characteristic ribbed shell. ,"Found in dry open calcareous (lime-rich) places, including screes, stone walls, short-turfed grassland and sand dunes. Occasionally found in dry open woodland; rarely in marshes.",Widespread in calcareous regions of Britain and Ireland; rare and largely coastal in northern Britain. ,"Widespread throughout Europe, absent from northernmost Scandinavia.",Not threatened.,,
s25,"Vallonia excentrica Sterki, 1892",Eccentric Grass Snail,Valloniidae,2 - 2.2 mm breadth,s25-1.jpeg,y,s25-2.jpg,,s25-3.jpg,,"The shell is similar to Vallonia pulchella, but usually smaller and with the last whorl expanding noticeably producing a distinctly elliptical (eccentric) outline. The mouth lip is not reflected sharply as in Vallonia pulchella. ","The adults of this species should be distinguishable from other British species of Vallonia according to their characteristics as described, although the juveniles can be difficult to separate from Vallonia pulchella.","Found in open usually dry calcareous places, such as short-turfed grassland, screes and sand dunes. Not normally found in woodland or marshes. ",Widespread in calcareous regions of Britain and Ireland; rare and largely coastal in northern Britain. ,"Widespread throughout Europe, absent from northernmost Scandinavia.",Not threatened.,,
s26,"Vallonia pulchella (Müller, 1774)",Beautiful Grass Snail,Valloniidae,2 - 2.5 mm breadth,s26-1.jpeg,y,s26-2.jpg,,s26-3.jpg,,"The shell is discoidal and the mouth edge is abruptly reflected to form a while flange-like lip. The lip is more delicate than that seen in Vallonia costata. The last whorl expands in an even and regular spiral giving a circular outline to the shell, unlike Vallonia excentrica. ","The adults of this species should be distinguishable from other British species of Vallonia according to their characteristics as described, although the juveniles can be difficult to separate from Vallonia excentrica.","Found in open calcareous habitats, usually in wetter places than Vallonia costata or Vallonia excentrica, e.g. moist meadows, marshes and sand dunes. Not found in woods. ",Widespread in calcareous regions of Britain and Ireland; rare and largely coastal in northern Britain. ,"Widespread throughout Europe, rare in northernmost Scandinavia. Also found in Iceland (probably introduced). ",Not threatened.,,
s27,"Columella aspera (Waldén, 1966)",,Vertiginidae,2 - 2.5 x 1.3 - 1.4 mm,s27-1.jpeg,y,s27-2.jpg,y,s27-3.jpg,y,"The shell is similar to that of Columella edentula, but is relatively shorter and fatter. The whorls are more strongly convex and the suture correspondingly deeper. The shell is usually darker than C. eduentula and appears less shiny due to the presence of numerous growth ridges. ",Often confused with Columella edentula.,Found in coniferous and deciduous woodland and poor acid grasslands. Characteristic of dryer less calcareous habitats than Columella edentula; often found at high altitude. ,Widespread but exact distribution unclear owing to confusion with Columella edentula. ,Widespread but exact distribution unclear owing to confusion with Columella edentula. Absent from northernmost Scandinavia and Iceland. ,Not listed by the IUCN Red List probably owing to confusion with C. edentula. ,,
s28,"Columella edentula (Draparnaud, 1805)",Toothless Column Snail,Vertiginidae,2.5 - 3 x 1.3 - 1.5 mm,s28-1.jpeg,y,s28-2.jpg,y,s28-3.jpg,y,"The shell is sub-cylindrical tapering to a blunt apex. The mouth-edge is simple and delicate and the shell is shiny, thin and translucent, with few poorly defined growth ridges.",Columella aspera has only recently been identified as distinct from C. edentula and the two are often confused. ,"A catholic species, found in marshes, woodland and grassland, usually in moderately damp and calcareous places. ",Widespread but exact distribution unclear owing to confusion with Columella aspera. ,Widespread but exact distribution unclear owing to confusion with Columella aspera. Absent from northernmost Scandinavia and Iceland. ,"Listed by the IUCN Red List as ""Least Concern"". ",,
s29,"Vertigo alpestris (Alder, 1838)",Mountain Whorl Snail,Vertiginidae,1.82 x 1.1 mm,s29-1.jpeg,y,s29-2.jpg,,s29-3.jpg,,"The shell is tiny and cylindrical, glossy and faintly but regularly striated. The mouth-edge is slightly thickened and there is no transverse rib behind the outer lip (unlike Verigo pygmaea). The mouth contains 3 to 4 lamella-like teeth.  ",Careful attention to the size and mouth characters of this species should enable separation from other species of Vertigo. ,Found in screes and amongst rocks; also in dry open woodland. Can be found at high altitudes in the Alps. ,Restricted to northwest England (Lake District) and single sites in Wales and Scotland. Not recorded in Ireland. ,Found in Switzerland and mountainous parts of Germany and France; frequent throughout Scandinavia. ,Not threatened.,,
s30,"Vertigo antivertigo (Draparnaud, 1801)",Marsh Whorl Snail,Vertiginidae,2 - 2.2 x 1.2 mm,s30-1.jpeg,y,s30-2.jpg,,s30-3.jpg,,"The shell is ovoid with a slightly thickened and reflected mouth-edge. The outer lip of the mouth has a marked central indentation, behind which there is a strong transverse rib. The mouth contains 6 to 10 teeth and the shell is dark chestnut-brown.",Careful attention to the size and characters such as number of teeth and the presence of the rib behind the mouth should enable separation from other species of Vertigo. ,Found in fens and marshes often amongst rotting vegetable matter; wet places. ,"Widespread throughout Britain and Ireland, except northernmost parts of Scotland. ",Widespread except for northernmost Scandinavia. ,Not threatened.,,
s31,"Vertigo geyeri Lindholm, 1925",Geyer's Whorl Snail,Vertiginidae,1.7 - 1.9 x 1.2 mm,s31-1.jpeg,y,s31-2.jpg,,s31-3.jpg,,"The shell is similar to that of Vertigo genesii but is slightly more conical and with more tumid whorls and a deeper suture. The mouth usually contains 4 teeth, although sometimes there are fewer; these are peg-like. The shell is pale reddish-brown and glossy with fine regular growth-lines. ","Juveniles may be confused with other species of Vertigo, epecially Vertigo genesii. Adults should be identifiable on the basis of the presence of teeth (absent in V. genesii). ",Found in upland marshes in calcareous areas. ,Only known from isolated sites in northern Britain and the lowlands of Ireland. ,Mainly found in Scandinavia and the Swiss and Austrian Alps. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"", although it meets the criteria for a threatened category in Britain and Ireland due to its restricted range.  ",,
s32,"Vertigo genesii (Gredler, 1856)",Round-mouthed Whorl Snail,Vertiginidae,1.7 - 2.1 x 1.2 mm,s32-1.jpeg,y,s32-2.jpg,,s32-3.jpg,,"The shell is ovoid and rather barrel-shaped, pale reddish-brown and glossy. The mouth-edge is scarcely thickened with no external rib or lip. The mouth is rounded and there are no teeth. ","Juveniles may be confused with other species of Vertigo, epecially Vertigo geyeri. Adults should be identifiable on the basis of the absence of teeth (present in V. geyeri). ","Found in marshy habitats, especially calcareous seepages on mountain hillsides.","Known at only one locality in England, in Teesdale, and at 2 sites in Scotland. Not known from Ireland. ",Found in mountainous areas of central Scandinavia and also in Finland and Switzerland. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"", although it meets the criteria for a threatened category in Britain due to its restricted range.  ",,
s33,"Vertigo pygmaea (Draparnaud, 1801)",Crested Whorl Snail,Vertiginidae,1.7 - 2.2 x 1 - 1.2 mm,s33-1.jpeg,y,s33-2.jpg,,s33-3.jpg,,"The shell is ovoid (although this can vary), and is usually pale to dark brown and dull with poorly defined growth-lines. The mouth-edge has a moderately reflected lip and there is a strong transverse rib present just behind the outer lip, and separated from it by a depression. The mouth contains 4 to 7 prominent white teeth.",Careful attention to the size and mouth characters of this species should enable separation from other species of Vertigo. ,"Found in dry calcareous grassy places, only occasionally in marshes and not in woodland.",Widespread throughout Britain and Ireland. ,Widespread throughout lowland Europe becoming rare in upland regions in the north.,Not threatened.,,
s34,"Vertigo lilljeborgi (Westerlund, 1871)",Lilljeborg's Whorl Snail,Vertiginidae,1.9 - 2.2 x 1.3 mm,s34-1.jpeg,y,s34-2.jpg,,s34-3.jpg,,"The shell is ovoid, pale yellowish-brown and glossy with faint but regular growth-lines. The mouth contains 4 well-defined teeth. ",Careful examination of the teeth will allow separation from Vertigo pygmaea and Vertigo moulinsiana.,Found amongst rotting vegetation in marshes and fens and at the margins of lakes and rivers; only rarely found with other species of Vertigo.,Found in northern Britain and western Ireland. ,Found in Denmark and most of Scandinavia. ,Not threatened.,,
s35,"Vertigo substriata (Jeffreys, 1833)",Striated Whorl Snail,Vertiginidae,1.7 x 1.1 mm,s35-1.jpeg,,s35-2.jpg,,s35-3.jpg,,"The shell is rather barrel-shaped, pale brown and often appears irridescent due to very fine and regular ribs, especially on the middle whorls. The mouth contains 5 to 6 teeth. ",Careful attention to the size and mouth characters of this species should enable separation from other species of Vertigo. ,Found in damp places in woods and marshes and at the margins of lakes; in upland areas often found in marshy grassland. ,"Found throughout Britain and Ireland, but rare in southeast England. ","Found throughout Scandinavia and in scattered localities in Germany, Holland, Belgium, eastern France and Switzerland. ",Not threatened.,,
