node ID,name,common name,family,size,image 1 (animals on white),image 1 in file,image 2 (shells),image 2 in file,image 3 (animals in habitat),image 3 in file,identification characteristics,similar species,ecology,distribution in the British Isles,distribution elsewhere,conservation status,map image,notes
s69,"Vitrina pellucida (Müller, 1774)",Winter Semi-Slug,Vitrinidae,4 - 6 x 2.5 - 3.5 mm,s69-1.jpeg,,s69-2.jpg,,s69-3.jpg,,"The shell is very thin, glossy, pale and translucent, and consists of few rapidly expanding whorls. The mouth is relatively large and the mouth-edge is simple and delicate. There is no umbilicus and the shell is usually pale green. The body of the animal is usually pale grey with a darker head and tentacles; the body is very large compared to the shell and is generally not fully retractable, as might be expected for a snail. Vitrina pellucida is therefore usually categorized as a semi-slug, being halfway between a slug and a snail. ","This is the only native Vitrinid in Britain. There are two introduced species (Semilimax pyrenaicus and Phenacolimax major), but these have very limited distributions in Ireland and southern Britain respectively. Check the descriptions of these species carefully to ensure accurate identification. ","Common in a wide variety of moderately humid places, such as woods, grasslands, amongst rocks, and often abundant in the grassy hollows of coastal dunes. It tolerates non-calcareous soils and can be found at high altitudes. ",Widespread throughout Britain and Ireland. ,"Found throughout Europe, northwards to beyond the Arctic Circle. ",Not threatened. ,,
s70,"Semilimax pyrenaicus (Férussac, 1821)",Pyrenean Semi-Slug,Vitrinidae,5 - 6 x 3.5 - 4.5 mm,s70-1.jpeg,y,s70-2.jpg,,s70-3.jpg,,"The shell is very thin, glossy, pale and translucent, and consists of few rapidly expanding whorls, the last of which expands very strongly to form about three-fifths of the total breadth of the shell. There is no umbilicus and the shell is usually pale green. The body of the animal is usually pale grey with blackish pigment spots on the mantle; like the other semi-slugs the body is very large compared to the shell and is generally not fully retractable. In this species there is a mantle lobe that entirely covers the apex of the shell.  ","This species is only known in Ireland, and should not be confusable with other British and Irish snails. ","Locally common in damp ground litter in woodland, mostly on non-calcareous soils and sometimes in more openly marshy places. ","This species is only known in Ireland where it was probably introduced, although this is enigmatic. The only other population is in the Pyrenees. ",Only found in the Pyrenees. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"", although it is a rare species which seems to be spreading via forestry operations. ",,
s71,"Phenacolimax major (Férussac, 1807)",Greater Semi-Slug,Vitrinidae,5 - 7 x 4 - 6 mm,s71-1.jpeg,y,s71-2.jpg,,s71-3.jpg,,"The shell is very thin, glossy, pale and translucent, and consists of few rapidly expanding whorls, the last of which expands very strongly to form about half of the total breadth of the shell. There is no umbilicus and the shell is usually pale green. The body of the animal is usually mid to dark-grey; like the other semi-slugs the body is very large compared to the shell and is generally not fully retractable. In this species there is a mantle lobe that entirely covers the apex of the shell.  ","This species is only know in very local populations in southern England and Wales. The mouth is more oval and compressed than that of Vitrina pellucida, and is larger than that species with a distinctive mantle lobe covering the apex of the shell. ","Found in moist sheltered places such as woods, grasslands, and amongst rocks. Rare at altitudes above 1000 metres. ",Very localized species in southern England and Wales. Not know from Ireland. ,"Found in western Europe, mainly France and west Germany.","Listed by the IUCN Red List of Threatened Species as ""Near Threatened"". This species is endemic to Europe where populations are declining; the main threats are logging of its woodland habitats and planting of conifers. ",,
s72,"Helicodonta obvoluta (Müller, 1774)",Cheese Snail,Helicodontidae,5 - 7 x 11 - 15 mm,s72-1.jpeg,y,s72-2.jpg,,s72-3.jpg,,"The shell is flat with a slightly sunken spire, with 5 - 6 tightly-coiled whorls. The umbilicus is wide and deep and the mouth is angled with a white lip, with blunt tooth-like thickenings in the basal and outer regions. The shell is brown with irregular growth-ridges and is densely covered with hairs, especially when young; adult shells may be hairless as these rub off during the snail's life, but they can still be observed under the microscope as distinctive hair-pits on the shell's surface. ","There are no similar British species, although other species of Helicodonta live in montane areas of Europe. ","A very local species found in calcareous habitats, especially chalk beech woods, in leaf litter and under logs. Occasionally it climbs tree trunks. Nearly all of the localities in Britain are on the South Downs.","Known only in southern England (Sussex, Hampshire).","Known from France, Belgium, southern Netherlands, Switzerland and southern Germany. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"". Although this species is widespread in Europe it is very rare in Britain and therefore listed as ""Threatened"" in the GB Red Data Book. ",,
s73,"Cepaea nemoralis (Linnaeus, 1758)",Brown-lipped Snail,Helicidae,12 - 22 x 18 - 25 mm,s73-1.jpeg,y,s73-2.jpg,y,s73-3.jpg,y,"This extremely common snail has a globular shell with a thickened lip that is usually dark brown. The shell is brightly coloured, ranging from brown to yellow and even pink, and has between 0 and 5 dark spiral bands. The colour and banding pattern is extremely variable. The umbilicus is completely sealed by the lip. ","Superficially very similar to Cepaea hortensis, with which it is often found, but distinguishable on the basis of the colour of the lip. Cepaea nemoralis is also usually slightly larger than C. hortensis.","Tolerant of most habitats, found in woods, hedgerows, scrubland, grassland, and even dunes. In mountainous areas of Europe it can be found up to altitudes of around 1500 metres. ",Found throughout Britain and Ireland although rare in the northern parts of Scotland. ,Widespread throughout NW Europe and in coastal regions of Scandinavia.  ,Not threatened. ,,
s74,"Cepaea hortensis (Müller, 1774)",White-lipped Snail,Helicidae,10 - 17 x 14 - 20 mm,s74-1.jpeg,y,s74-2.jpg,,s74-3.jpg,y,The shell is globular and brightly coloured with a white thickened lip. The shell colour and banding pattern (0 - 5 dark spiral bands) are extremely variable. The umbilius is completely sealed by the lip. ,"Superficially very similar to Cepaea nemoralis, with which it is often found, but distinguishable on the basis of the colour of the lip. Cepaea hortensis is also usually slightly larger than C. nemoralis.","Tolerant of a variety of habitats, found in woods, hedgerows, scrubland, grassland, and even dunes, but often in slightly wetter or colder places than Cepaea nemoralis. It is also found at slightly higher altitudes in mountainous areas, attaining about 2000 metres in the Alps. ","Found throughout Britain and more common in northern Scotland than Cepaea nemoralis, but much rarer in Ireland where it is restricted to central-western regions and the coasts. ","Widespread throughout NW Europe and in coastal regions of Scandinavia, where it is more common than C. nemoralis. ",Not threatened. ,,
s75,"Arianta arbustorum (Linnaeus, 1758)",Copse Snail,Helicidae,10 - 22 x 14 - 28 mm,s75-1.jpeg,y,s75-2.jpg,,s75-3.jpg,,"The shell is globular with a tiny umbilicus, reduced to a slit. The mouth is round with a white lip; the rest of the shell is brownish or yellowish, usually with a dark brown spiral band, and nearly always with whitish flecks. The shell has a distinctive microsculpture of fine grooves when viewed under a strong hand lens or microscope. ","The colouration might be confused with juveniles of larger species such as Cornu aspersum, but careful use of the description here should enable positive identification.  ","This species has a strong preference for wet places such as meadows, amongst lush vegetation, and in woodland. It is very restricted in areas of dry climate and good drainage. ","Found throughout Britain, although less common in areas of permeable bedrock. Scarce in Ireland where it is considered rare. ",Widespread throughout NW and Central Europe and found in southern and coastal parts of Scandinavia. ,"In Ireland, listed as Vulnerable by the IUCN Red List.",,
s76,"Helicigona lapicida (Linnaeus, 1758)",Lapidary Snail,Helicidae,7 - 9 x 12 - 20 mm,s76-1.jpeg,y,s76-2.jpg,,s76-3.jpg,,"The shell is discoidal with a low spire and a very sharp keel, giving the appearance of a flying saucer. The umbilicus is wide and deep and the mouth eliptical with a white lip. The shell is pale to medium brown, sometimes with darker blotches, and with a distinctive granular microsculpture giving the appearance of fine engraving, hence the common name ""Lapidary Snail"". ",This species is unlikely to be confused with others. ,"Often found in crevices between rocks and in stone walls, and also in woodland and hedgerows.","This species is restricted to areas of calcareous bedrock and is therefore most common in southern and eastern England. It was once known at one location in Ireland, on limestone crags in County Cork, but is now probably extinct there.  ",Widespread throughout Europe in calcareous areas.,"Listed as regionally extinct in Ireland by the IUCN Red List, but elsewhere as ""Least Concern"". ",,
s77,"Helix pomatia (Linnaeus, 1758)",Roman or Edible Snail,Helicidae,30 - 50 x 32 - 50 mm,s77-1.jpeg,,s77-2.jpg,,s77-3.jpg,y,"This is the largest species in Britain with a very large globular shell. The mouth is large, with a thickened lip that is often slightly pigmented; the rest of the shell is thick with a creamy white colour with indistinct brown spiral bands. This species is highly prized as food most often eaten in France. ","This species is unlikely to be confused with any others due to it large size, although the shells of some introduced species such as Helix lucorum approach similar sizes. ","Found in woodlands, hedgerows and amonst vegetation in areas of calcareous bedrock. ","This species is found only in isolated colonies in southern-central and south eastern England, most of which are the result of introduction by people. ",Widespread in central Europe and introduced to a few places in northern Europe such as southern Norway. ,"Protected in some European countries, but listed as 'Least Concern' in the IUCN Red List.",,
s78,"Helix lucorum (Linnaeus, 1758)",Turkish Snail,Helicidae,40 - 50 x 41 - 55 mm,s78-1.jpeg,y,s78-2.jpg,,s78-3.jpg,,This extremely large land snail was introduced to Britain and northern Europe from Turkey and the eastern Black Sea region. The shell is white but this is almost entirely concealed by broad dark brown bands. It is striated with a relatively small mouth and the umbilicus is almost completely covered. ,"This species looks something like an extremely large Cepaea, although its shape is much more similar to Helix pomatia and Cornu aspersum.","Prefers light woodland, scrubland and farmed areas. It is nocturnal and most active after rainfall, often burrowing into the surface soil during periods of drier weather. ","A recent introduction (c. 2009 onwards), known only from a handful of sites in England and Wales.","Native to the eastern Mediterranean, only present in NW Europe as an occasional introduction.",Not threatened. ,,
s79,"Cornu aspersum (Müller, 1774)",Garden Snail,Helicidae,25 - 35 x 25 - 40 mm,s79-1.jpeg,y,s79-2.jpg,,s79-3.jpg,y,"Large globular shell, the umbilicus of which is completely sealed. The mouth has a thickened white lip, and the rest of the shell is usually pale brown (occasionally yellowish), with dark spiral bands and flecks of white. It has a characteristic wrinkled sculpture, most clearly seen by using a hand lens. Together with the two species of Cepaea, this snail is one of the most commonly encountered species in gardens, often occuring in clusters under plant pots and behind sheds. ",Possibly confusable with juveniles of Helix pomatia but generally smaller and with a darker colour than that species. ,"Can inhabit a variety of habitats such as woodlands, hedgerows, amongst rocks and even in dunes, but often associated with gardens and parks where it most commonly occurs at the edges of its range.",Widespread throughout Britain and Ireland but rare in northern and upland areas because it is intolerant of low winter temperatures. ,Widespread throughout NW Europe but generally absent from Scandinavia.,Not threatened. ,,
s80,"Theba pisana (Müller, 1774)",Mediterranean Snail,Helicidae,9 - 20 x 12 - 25 mm,s80-1.jpeg,y,s80-2.jpg,,s80-3.jpg,,"The shell is globular, with a narrow umbilicus partly covered by the lip. The mouth is eliptical with an internal rib; the shell is generally white, ginger or rarely pink with growth ridges crossed by fine spiral striations. Juveniles have a sharp keel, but in adults this is barely noticeable. ","Possibly confusable with Cernuella virgata, which has a larger umbilicus and lacks spiral striations.","Found in dry exposed places, often near the sea and frequently amongst dunes. Often climbs plant stems, sometimes in great numbers, in dry weather. ","This mediterranean species has a limited distribution in Britain occuring on the coast of south west England, south Wales and southern and eastern Ireland.",Very common in the mediterranean but introduced to northern Europe. ,Not threatened. ,,
s81,"Cochlicella acuta (Müller, 1774)",Pointed Snail,Cochlicellidae,10 - 20 x 4 - 7 mm,s81-1.jpeg,y,s81-2.jpg,,s81-3.jpg,y,"The general shell shape is an elongated cone with a minute umbilicus covered by a reflected lip. The mouth is eliptical and tall with no internal rib. The shell is usually white or gingerish, often with darker bands or blotches, although the colouration is extremely variable and dark striped forms are also known.","Could be mistaken for other British species of this family, Cochlicella barbara, which has more pronounced growth ridges and is usually slightly smaller and fatter. ",Usually found on the coast amongst dunes and grasslands and occasionally in calcareous habitats inland. ,"Found on the southern and western coasts of England, Wales and Scotland, and the Irish coast. ",Found on the Atlantic coast of France and the Netherlands.,Not threatened. ,,
s82,"Cochlicella barbara (Linnaeus, 1758)",Potbellied Snail,Cochlicellidae,8 - 12 x 5 - 8 mm,s82-1.jpeg,y,s82-2.jpg,,s82-3.jpg,y,The shell is an elongated cone with shallow sutures and a tiny umbilicus partly obscured by the lip. It is generally white and quite thick with similar variation in colour and banding to Cochlicella acuta. ,"Could be mistaken for other British species of this family, Cochlicella acuta, which is taller and more slender, with less pronounced growth ridges. ",Found in dry exposed areas near the sea especially amongst dunes and occasionally inland. ,Very limited distribution in Britain restricted to a few coastal sites in south west England and south Wales. ,"It is mediterranean species accidently introduced to a few places in France, Belgium and Britain but generally absent from northern Europe. ",Not threatened. ,,
s83,"Cernuella virgata (da Costa, 1778)",Vineyard Snail,Hygromiidae,6 - 19 x 8 - 25 mm,s83-1.jpeg,y,s83-2.jpg,,s83-3.jpg,y,"The shell is globular with a narrow umbilicus partly covered by the lip. The mouth is round, with an internal rib which may be white or brownish; the shell itself is usually white or ginger, with dark brown spiral bands which are usually interrupted or blotchy. This species is very variable in size, shape and colouration.","This species may be confused with Cernuella aginnica, which usually has a more depressed shell with a larger umbilicus. ","Found in dry open calcareous places especially dunes, grasslands and hedgerows. Often found in disturbed areas.","Generally restricted to calcareous regions of Britain, particularly the south east, but also found in coastal areas throughout the country. In Ireland it is rather scarce and most common on the coasts.",It has a mediterranean distribution and is restricted to coastal areas in northern and western Europe. ,Not threatened. ,,
s84,"Cernuella aginnica (Locard, 1894)",,Hygromiidae,6 - 11 x 8 - 18 mm,s84-1.jpeg,,s84-2.jpg,,s84-3.jpg,,"The shell is globular with a low conical spire with deep sutures. The umbilicus is rather wide and the mouth is round with a thin internal rib. The shell is white, usually with interrupted spiral bands and regular growth ridges.","This species may be confused with Cernuella virgata, which is usually taller with a much smaller umbilicus and more pronounced growth ridges. ",Found in dry open calcareous places especially dunes.,This species was confirmed as part of the British land snail fauna in 2002 and is known from one locality in south east England.,"This mediterranean species is known in France and a few sites on the Belgian and Dutch coasts, although its exact distribution is unclear due to its often being confused with Cernuella virgata. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s85,"Helicella itala (Linnaeus, 1758)",Heath Snail,Hygromiidae,5 - 12 x 9 - 25 mm,s85-1.jpeg,y,s85-2.jpg,,s85-3.jpg,,"The shell is rather flat, with a low spire and shallow sutures. The umbilicus is very wide (~ 1/3 of the width of the shell) and the mouth is slightly eliptical. The shell is usually white or pale ginger and very rarely pale pink, usually with dark brown spiral bands, although the colour and pattern are quite variable. ",There are no similar species in the British fauna. ,"Found in dry exposed places such as dunes, screes and calcareous grassland. ",Predominantly found in south-eastern England and central Ireland but also known from around the coast of the UK.,Found throughout NW Europe although rare in Denmark and Germany. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s86,"Candidula intersecta (Poiret, 1801)",Wrinkled Snail,Hygromiidae,5 - 8 x 7 - 13 mm,s86-1.jpeg,y,s86-2.jpg,,s86-3.jpg,,"The shell is globular with a rather depressed spire and slightly angled at the periphery. The mouth is circular with a white internal rib and the shell itself is usually white or gingerish, often with spiral bands or blotches. It also has marked irregular transverse ribbing. The colour and pattern may vary, and some shells may be completely white or brown. ","May be confused with Candidula gigaxii which is more depressed, has a broader last whorl and finer ribbing. ",Found in dry open places especially dunes and grassland. During hot dry periods it buries itself and is hard to find. ,Found throughout Britain and Ireland although rarer in northern and upland areas. ,Found in western Europe but more restricted in Germany. Denmark and southern Scandinavia. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s87,"Candidula gigaxii (Pfeiffer, 1850)",Eccentric Snail,Hygromiidae,4 - 8 x 6 - 15 mm,s87-1.jpeg,,s87-2.jpg,,s87-3.jpg,,The shell is very depressed with a low spire and shallow sutures. The umbilicus is quite wide and eccentric. The mouth is round with an indistinct internal rib and the shell has fine regular transverse ribs. ,Rather similar to Candidula intersecta but identifiable on the basis of the eccentric umbilucus and finer ribbing.,"Found in dry open sites usually in calcareous regions, often in association with Cernuella virgata and in slightly more sheltered places than Candidula intersecta.",Restricted mainly to southern and eastern England with a few localities in Wales and on the north-east coast. Absent from Scotland and Ireland. ,A western European species with a restricted distribution in central and northern Europe. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s88,"Ponentina subvirescens (Bellamy, 1839)",Green Snail,Hygromiidae,4 - 6.5 x 5 - 8 mm,s88-1.jpeg,y,s88-2.jpg,,s88-3.jpg,,"The shell is globular and slightly depressed with a small umbilicus and a large round mouth with a very weak internal rib. It is a dull greenish yellow with irregular growth ridges and is slightly translucent, covered with soft hairs that are often worn away in adults. ",There are no similar species in the British fauna. ,"Found usually in damp grassland and rocky areas, and also close to the sea. ",Restricted to south-west England (Devon and Cornwall) and the coast of west Wales. Absent from Ireland. ,"A south-west European species known from the Atlantic coasts of Portugal, Spain, France and south-west England. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s89,"Zenobiella subrufescens (Miller, 1822)",Brown Snail,Hygromiidae,4 - 6 x 6 - 10 mm,s89-1.jpeg,,s89-2.jpg,,s89-3.jpg,,"The shell is globular and slightly depressed with a minute umbilicus partly covered by the lip. The mouth is slightly eliptical and usually lacks and internal rib; the shell is rather thin and flexible, being poorly calcified in comparison to most other species and is usually pale brown.",There are no similar species in the British fauna. ,"Found in woodland and shady places, as well as well-vegetated river banks. Also common in mountainous regions. ",This species has a generally western distribution in Britain and Ireland. It is most common in south-west England and throughout Wales and Scotland but is generally absent from eastern England and central Ireland. ,"A south-west European species known from the Atlantic coasts of Portugal, Spain, France and the west coast of Britain and Ireland. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s90,"Pseudotrichia rubiginosa (Rossmässler, 1838)",German Hairy Snail,Hygromiidae,4.5 - 5 x 6 - 8 mm,s90-1.jpeg,,s90-2.jpg,,s90-3.jpg,,"The shell is globular and very rounded, with a small umbilicus that is slightly obscured by the lip. The mouth is oval and lacks an internal rib, and the shell is generally thin, translucent and slightly glossy with fine irregular growth ridges and covered in short curved hairs.","May be mistaken for Ashfordia granulata and species of Trochulus, which have longer hairs and usually have an internal rib in the mouth.","Lives in woodland, marshes, meadows and similar damp habitats, especially along river valleys. ",Very rare in Britain where it has only been found in south-east England in the Thames Valley. ,An eastern European and Siberian species found mostly in Germany and southern Sweden. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"", but listed as ""Endangered"" in Germany. ",,
s91,"Trochulus sericeus (Draparnaud, 1801)",,Hygromiidae,4 - 5 x 6 - 8.5 mm,s91-1.jpeg,,s91-2.jpg,,s91-3.jpg,,The shell is rounded with long curved hairs and coarse growth lines. The mouth is rounded with a weak internal rib and the umbilicus is narrow.,"May be confused with other species of Trochulus, especially T. hispidus, which has finer growth lines.","Found in various habitats ranging from woodland to shrubland, marsh and moderately dry meadows. In the Alps it can attain altitudes of up to 2400 metres. ",Generally distributed in central England and East Anglia and rarer in Wales and northern England; absent from Ireland and Scotland. ,Present in central and western Europe. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s92,"Trochulus hispidus (Linnaeus, 1758)",Hairy Snail,Hygromiidae,5 - 6 x 5 - 12 mm,s92-1.jpeg,y,s92-2.jpg,,s92-3.jpg,,The shell is slightly depressed and flattish. The mouth is slightly eliptical with a thin reflected lip and an internal rib. It is usually brown or cream coloured with irregular growth ridges and is covered in short curved hairs that are often worn off in adult shells but survive in the umbilicus. These shells are rather variable in shape and degree of hairiness; those from wetter and cooler habitats tend to be hairier. ,"May be confused with other species of Trochulus, especially T. striolatus; careful comparison of shells with the descriptions of the Trochulus species is needed for a positive identification. ",A catholic species absent only from very dry sites and found up to 2000 metres in the Alps. ,Widespread across all Great Britain and Ireland but scarce in northern Scotland. ,Widespread throughout NW and central Europe and found in coastal regions of Scandinavia. ,Not threatened. ,,
s93,"Trochulus striolatus (Pfeiffer, 1828)",Strawberry Snail,Hygromiidae,6.5 - 9 x 11 - 14 mm,s93-1.jpeg,y,s93-2.jpg,,s93-3.jpg,,"The shell is rather depressed and flattened with moderately deep sutures. The last whorl is angled and often thickened at the edge to form a pale spiral band. The mouth is eliptical with a reflected lip and a thickened internal rib, and the shell is usually opaque dark reddish brown (sometimes a creamier yellow colour), with coarse irregular growth ridges. Hairy when juvenile but usually hairless as adults. ","May be confused with other hairy snails such as Trochulus hispidus, which are usually smaller and hairier than T. striolatus.","Found in most habitats such as woodlands, hedgerows, roadsides and waste grounds and often in gardens. Usually in damp shady places. ",Widespread across all Great Britain and Ireland but scarce in northern Scotland. ,"Found mainly in Britain, north-east France and the Netherlands but only rarely further south. ",Not threatened. ,,
s94,"Trochoidea elegans (Gmelin, 1791)",Top Snail,Hygromiidae,5 - 8 x 7 - 10 mm,s94-1.jpeg,y,s94-2.jpg,,s94-3.jpg,,The spire of the shell is very conical with a flattened base and is sharply-keeled; the umbilicus is small and the mouth is a rather flattened oval shape. The shell is quite thick and usually greyish white in colour with dark spiral bands (sometimes these are absent). Juveniles have a few short hairs but these are usually lost in adults. ,There are no similar species in the British fauna. ,"Found in damp places such as meadows, amongst leaf litter and under stones. ","This is an introduced species, known only from chalk grassland sites in south-east England. ",It is a mediterranean species that occurs only as an introduction further north.,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s95,"Hygromia cinctella (Draparnaud, 1801)",Girdled Snail,Hygromiidae,6 - 7 x 10 - 12 mm,s95-1.jpeg,y,s95-2.jpg,,s95-3.jpg,,"The shell is globular and rather conical and is strongly keeled with a tiny umbilicus almost completely covered by the lip. The mouth is eliptical with no thickened edge or internal rib. The shell is usually slightly translucent and yellowish-white to pale brown in colour, with a thin white spiral band around the keel. ",There are no similar species in the British fauna. ,"Found mainly in waste ground, often amongst grass, nettles and similar weedy vegetation. Also common in gardens and rockeries. ","This is an introduced species first recorded in 1950 in Devon, possibly imported with garden plants from Europe. It is now established in Devon and Cornwall and spreading rapidly in England. ","It is a mediterranean species common in south-eastern France, Italy and the Balkans. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s96,"Hygromia limbata (Draparnaud, 1805)",Hedge Snail,Hygromiidae,9 - 11 x 12 - 17 mm,s96-1.jpeg,,s96-2.jpg,,s96-3.jpg,,The shell is globular with a rather conical shape and shallow sutures. The umbilicus is very small and partly hidden by the lip; the mouth is eliptical with a thin lip and strong internal rib. The shell colour ranges from creamy white to dark brown usually with white or dark spiral bands and with fine regular growth lines. ,There are no similar species in the British fauna. ,Inhabits moist grassy places such as overgrown ditches and is often found in gardens. ,This is an introduced species first recorded in 1917 in Devon. It is now well established in south-west England and is likely to spread further in future. ,"It is a south-west European species common in Spain, southern and western France. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s97,"Ashfordia granulata (Alder, 1830)",Silky Snail,Hygromiidae,5 - 7 x 7 - 9 mm,s97-1.jpeg,y,s97-2.jpg,,s97-3.jpg,,"The shell is globular with very deep sutures and a minute umbilicus partly obscured by the lip. The mouth is rounded but flattened at the base, with only a very indistinct (or absent) rib. The shell is thin, translucent and whitish to pale brown in colour and covered with fine straight hairs. ","This species may be confused with various species of Trochulus especially T. sericeus, which has curved hairs and a much more strongly developed lip and internal rib. It is also similar to Pseudotrichia rubiginosa which has curved hairs and much shallower sutures.","Found in hedgerows, marshes and generally damp shady places. ","This species has a rather discontinuous distribution. Common in southern and western England and the western and northern coasts of Wales, it is rare in central England, with limited distributions in Scotland and Ireland.","Found in a few locations in France, the Channel Islands and northern Spain, but largely restricted to the British Isles. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,
s98,"Monacha cantiana (Montagu, 1803)",Kentish Snail,Hygromiidae,11 - 14 x 16 - 20 mm,s98-1.jpeg,y,s98-2.jpg,,s98-3.jpg,,"The shell is globular with a depressed spire and a very rounded body whorl. The umbilicus is small and slightly obscured by the lip; the mouth is almost circular with a white internal rib. The shell itself is a creamy white colour, sometimes darkening to reddish-brown near the mouth. ","This species may be confused with Monacha cartusiana, which has a minute umbilicus and is generally slightly smaller. ","This snail is characteristic of waste ground and is typical of roadsides, old quarries and railway embankments where it lives amongst tall grasses, nettles and similar weeds. Juvenile snails often attach themselves high up on vegetation.",Found in association with calcareous bedrock and so generally restricted to south-east England with a more diffuse distribution in Wales and the north. Absent from Ireland. ,"It is a mediterranean species found in southern France, Italy and as an introduced species in other parts of Europe. ",Not threatened. ,,
s99,"Monacha cartusiana (Müller, 1774)",Carthusian Snail,Hygromiidae,6 - 10 x 9 - 17 mm,s99-1.jpeg,,s99-2.jpg,,s99-3.jpg,,"The shell is globular and slightly depressed with a slightly shouldered periphery. The mouth is eliptical with a thickened internal rib and the umbilicus is minute and almost entirely obscured by the lip. The shell is usually creamy white, sometimes brownish or reddish near the mouth and sometimes with pale brown spiral bands that are most obvious near the mouth. ","This species may be confused with Monacha cantiana, which has a much bigger umbilicus and is generally larger and less depressed. ","Found in open unshaded habitats on calcareous bedrock. In Britain it is mostly found in dry chalk grassland habitats that are grazed by sheep and cattle, but is sometimes also found in waste ground and on roadside banks. ","Found predominantly in south-east England, especially near the coast, and in a few places in East Anglia. ","Predominantly mediterranean and south-east European, with sparser occurences in France, Germany and southern England. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"".",,